sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 3, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 50, "use_continuation_score": true}
# Fecha: 2026-02-06T12:37:54.914445
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
32;2025-11-13 00:30;2025-11-13 01:20;101692,69059999999;102303,52939999998;0,6;UP;102315,7;Close Breakout;102315,7;0;WIN;2;31,0;2,83;Si;No;11;20;1,6;54.0
33;2025-11-13 08:25;2025-11-13 09:50;102650,35425000002;103228,86279999999;0,56;DOWN;102506,2;Close Breakout;102506,2;0;LOSS;-1;30,0;58,48;Si;Si;18;42;3,4;59.0
34;2025-11-13 17:05;2025-11-13 23:30;98006,05115000001;98851,7;0,86;UP;98980,1;Close Breakout;98980,1;0;LOSS;-1;29,0;1,78;No;No;78;28;2,2;51.0
35;2025-11-13 23:30;2025-11-14 07:40;98734,4;99846,4044;1,12;DOWN;97670,3;Close Breakout;97670,3;0;WIN;2;31,0;25,94;Si;Si;99;39;3,2;52.0
36;2025-11-17 21:55;2025-11-18 07:40;91129,6;92437,08444999998;1,42;DOWN;90827,1;Close Breakout;90827,1;0;LOSS;-1;30,0;35,44;Si;Si;118;60;4,9;50.0
37;2025-11-18 03:00;2025-11-18 11:20;89327,5;90511,62939999999;1,32;UP;90695;Close Breakout;90695;0;WIN;2;32,0;5,17;Si;Si;101;32;2,6;52.0
38;2025-11-18 10:15;2025-11-19 00:05;91036,6;92258,5;1,33;UP;92369,4;Close Breakout;92369,4;0;LOSS;-1;31,0;3,93;Si;Si;167;29;2,3;54.0
39;2025-11-18 22:35;2025-11-19 10:55;91959,03994999999;93061,4;1,19;DOWN;91830,1;Close Breakout;91830,1;0;WIN;2;33,0;32,1;Si;Si;149;84;6,9;52.0
40;2025-11-19 10:30;2025-11-19 20:15;91043,9;91984,7;1,03;DOWN;90668,3;Close Breakout;90668,3;0;LOSS;-1;32,0;18,34;Si;Si;118;45;3,7;56.0
41;2025-11-20 01:30;2025-11-20 09:00;92346,12125000001;93016,24420000002;0,72;DOWN;92245,4;Close Breakout;92245,4;0;WIN;2;34,0;54,76;Si;Si;91;21;1,7;59.0
