sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70}
# Fecha: 2026-02-05T22:25:12.229729
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
73;2025-12-05 04:10;2025-12-05 08:25;91850;93981,2;2,29;DOWN;91829,8;Close Breakout;91829,8;0;WIN;2;56,0;50,88;Si;Si;52;659;54,8;51.0
74;2025-12-05 08:20;2025-12-05 09:40;91019,2899;91400,55265;0,42;DOWN;90921,6;Close Breakout;90921,6;0;WIN;2;58,0;65,78;Si;Si;17;24;1,9;81.0
75;2025-12-07 08:20;2025-12-07 10:55;89067,04885;89739,3;0,75;DOWN;88870,1;Close Breakout;88870,1;0;LOSS;-1;57,0;42,3;Si;Si;32;338;28,1;46.0
76;2025-12-09 07:10;2025-12-09 07:10;89633,67069999999;91025,83849999998;1,54;DOWN;90312,7;Close Breakout;90312,7;0;WIN;2;59,0;14487,95;Si;Si;1;169;14;49.0
77;2025-12-09 15:15;2025-12-10 15:10;93574,4622;94065,8778;0,52;DOWN;93281,4;Close Breakout;93281,4;0;LOSS;-1;58,0;36,17;Si;Si;288;20;1,6;55.0
78;2025-12-10 19:30;2025-12-10 21:05;91484,6;93128,8;1,78;DOWN;91452,6;Close Breakout;91452,6;0;WIN;2;60,0;52,21;Si;Si;20;310;25,8;75.0
79;2025-12-11 13:40;2025-12-12 10:55;89440;90638;1,33;UP;91121,5;Close Breakout;91121,5;0;LOSS;-1;59,0;5,33;Si;Si;256;64;5,2;42.0
80;2025-12-13 07:25;2025-12-14 06:00;90301,38780000001;90569,2;0,3;DOWN;90285,9;Close Breakout;90285,9;0;WIN;2;61,0;100,03;Si;Si;272;40;3,2;76.0
81;2025-12-14 01:20;2025-12-14 06:00;90032,49584999999;90301,14395000001;0,3;DOWN;90082,3;Close Breakout;90082,3;0;WIN;2;63,0;141,09;Si;Si;57;149;12,3;86.0
82;2025-12-14 18:10;2025-12-14 19:30;88101,1;88713,17050000001;0,69;DOWN;88011;Close Breakout;88011;0;LOSS;-1;62,0;49,4;Si;Si;17;34;2,8;47.0
83;2025-12-15 09:45;2025-12-15 11:35;89016,4;89845;0,93;DOWN;88669,7;Close Breakout;88669,7;0;WIN;2;64,0;26,95;Si;Si;23;37;3;86.0
84;2025-12-16 01:05;2025-12-17 09:50;85366,5;86166,7;0,93;UP;86232;Close Breakout;86232;0;WIN;2;66,0;11,62;Si;Si;394;38;3,1;70.0
85;2025-12-16 05:35;2025-12-16 09:00;86080,09994999999;86514,20985000001;0,5;UP;86714,1;Close Breakout;86714,1;0;LOSS;-1;65,0;19,42;Si;Si;42;23;1,8;59.0
86;2025-12-18 08:05;2025-12-18 08:45;85762,12804999998;87677,21085;2,21;UP;87714,4;Close Breakout;87714,4;0;WIN;2;67,0;16,07;Si;Si;9;590;49,1;49.0
87;2025-12-18 22:00;2025-12-19 02:10;84944,40709999998;85858,6;1,07;UP;86160,4;Close Breakout;86160,4;0;WIN;2;69,0;10,76;Si;Si;51;70;5,8;68.0
88;2025-12-19 12:25;2025-12-21 04:35;87725,77285;88816;1,24;DOWN;87579,1;Close Breakout;87579,1;0;LOSS;-1;68,0;21,69;Si;Si;483;67;5,5;50.0
89;2025-12-19 14:15;2025-12-21 04:30;86828,22665;87449,3938;0,71;UP;87521,1;Close Breakout;87521,1;0;WIN;2;70,0;16,45;Si;Si;460;21;1,7;81.0
90;2025-12-20 20:30;2025-12-21 03:40;88228,74495;88381,72260000001;0,17;DOWN;88154,6;Close Breakout;88154,6;0;LOSS;-1;69,0;118,07;Si;Si;87;26;2,1;62.0
91;2025-12-21 17:50;2025-12-21 19:10;87804,08140000001;88396,41055;0,67;UP;88428,6;Close Breakout;88428,6;0;WIN;2;71,0;24,5;Si;Si;17;198;16,4;72.0
92;2025-12-22 03:15;2025-12-22 07:30;88630,5665;89213,7;0,66;UP;89449,9;Close Breakout;89449,9;0;WIN;2;73,0;18,32;Si;Si;52;55;4,5;82.0
93;2025-12-22 08:20;2025-12-22 08:35;89596,6965;90283,58439999999;0,76;UP;89979,2;Close Breakout;89979,2;0;LOSS;-1;72,0;50,53;Si;Si;4;37;3;30.0
94;2025-12-22 14:00;2025-12-23 01:15;89063,8267;89538,715;0,53;DOWN;88734;Close Breakout;88734;0;WIN;2;74,0;38,11;Si;Si;136;25;2;75.0
95;2025-12-22 23:55;2025-12-23 09:55;87928,50279999999;88860,48735000001;1,05;DOWN;87881,4;Close Breakout;87881,4;0;WIN;2;76,0;53,86;Si;Si;121;54;4,4;68.0
96;2025-12-25 10:25;2025-12-25 17:45;87161,27715000001;87938,985;0,89;UP;88033,8;Close Breakout;88033,8;0;LOSS;-1;75,0;18,74;Si;Si;89;610;50,8;45.0
97;2025-12-25 15:20;2025-12-25 17:45;88011,1;88239,24949999999;0,26;DOWN;87990,1;Close Breakout;87990,1;0;WIN;2;77,0;98,64;Si;Si;30;25;2;73.0
98;2025-12-25 17:40;2025-12-25 18:35;87760,94755;87970,39154999999;0,24;DOWN;87669,5;Close Breakout;87669,5;0;WIN;2;79,0;91,33;Si;Si;12;25;2;82.0
99;2025-12-26 02:45;2025-12-26 09:55;88745,2009;89387,7;0,72;DOWN;88614;Close Breakout;88614;0;WIN;2;81,0;46,72;Si;Si;87;37;3;82.0
100;2025-12-26 08:35;2025-12-26 09:35;88440,20080000002;88820,4;0,43;UP;88919,2;Close Breakout;88919,2;0;LOSS;-1;80,0;26,75;Si;Si;13;33;2,7;51.0
