sep=;
# Multi-simbolo: BTCUSDT, ETHUSDT, XRPUSDT, TRXUSDT, GALAUSDT, SUIUSDT, SOLUSDT, ADAUSDT, DOGEUSDT, BNBUSDT
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 6, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "va_breakout", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "zone_opposite", "atr_dyn_period": 100, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.5, "atr_dyn_min_bars": 20, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 30, "ttm_kc_multiplier": 1, "ttm_min_squeeze_bars": 10, "use_bbwp_scoring": false, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 30, "use_continuation_score": false, "sl_poc_buffer_pct": 50, "vp_bins_per_zone": 30, "tp_rr_ratio": 1}
# Fecha: 2026-02-08T11:23:54.045562
zona_num;simbolo;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;sl_price;tp_price;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
72;BTCUSDT;2025-11-11 01:57;2025-11-11 02:17;104831,5;105152,85899999998;0,31;UP;105151,6;VA Breakout;105151,6;0;105022,72;105280,48;LOSS;-1;93,0;2,64;Si;No;21;35;0,6;47.0
73;XRPUSDT;2025-11-11 01:59;2025-11-11 02:18;2,4558425000000006;2,475;0,78;UP;2,4721;VA Breakout;2,4721;0;2,46;2,49;LOSS;-1;92,0;3,23;Si;Si;20;55;0,9;38.0
74;SOLUSDT;2025-11-11 02:48;2025-11-11 03:07;164,26;165,158;0,55;DOWN;164,42;VA Breakout;164,42;0;165,19;163,65;WIN;2;94,0;126,32;Si;Si;20;57;0,9;65.0
75;BTCUSDT;2025-11-11 03:13;2025-11-11 04:08;104682,00050000001;105053,8;0,35;UP;104964,8;VA Breakout;104964,8;0;104642,27;105287,33;WIN;2;96,0;1,63;No;No;56;35;0,6;66.0
76;SUIUSDT;2025-11-11 03:33;2025-11-11 04:01;2,0805840000000004;2,0997865;0,92;DOWN;2,0781;VA Breakout;2,0781;0;2,09;2,06;LOSS;-1;95,0;93,93;Si;Si;29;54;0,9;63.0
77;ETHUSDT;2025-11-11 04:03;2025-11-11 07:07;3533,12;3587,6716499999993;1,53;UP;3566,06;VA Breakout;3566,06;0;3540,24;3591,88;WIN;2;97,0;1,05;No;No;185;277;4,6;61.0
78;ADAUSDT;2025-11-11 04:03;2025-11-11 04:05;0,5747829999999998;0,579;0,73;UP;0,5782;VA Breakout;0,5782;0;0,58;0,58;WIN;2;99,0;2,41;Si;No;3;87;1,4;64.0
79;SOLUSDT;2025-11-11 04:04;2025-11-11 04:14;163,6464;164,69;0,64;UP;164,39;VA Breakout;164,39;0;163,68;165,1;LOSS;-1;98,0;0,71;No;No;11;76;1,2;64.0
80;DOGEUSDT;2025-11-11 04:04;2025-11-11 04:05;0,1760189;0,17820725;1,24;UP;0,17745;VA Breakout;0,17745;0;0,18;0,18;WIN;2;100,0;3,25;Si;Si;2;133;2,2;52.0
81;XRPUSDT;2025-11-11 04:05;2025-11-11 08:55;2,438171;2,4670475;1,18;UP;2,462;VA Breakout;2,462;0;2,44;2,48;LOSS;-1;99,0;2,97;Si;No;291;108;1,8;63.0
82;GALAUSDT;2025-11-11 04:40;2025-11-11 07:35;0,010098005;0,010288;1,86;UP;0,010228;VA Breakout;0,010228;0;0,01;0,01;LOSS;-1;98,0;2,8;Si;No;176;123;2,0;60.0
83;BNBUSDT;2025-11-11 04:46;2025-11-11 05:16;972,8;979,5;0,69;DOWN;975;VA Breakout;975;0;977,39;972,61;LOSS;-1;97,0;169,4;Si;Si;31;94;1,6;65.0
84;XRPUSDT;2025-11-11 05:08;2025-11-11 05:08;2,4509415;2,4660415;0,61;UP;2,4631;VA Breakout;2,4631;0;2,46;2,47;LOSS;-1;96,0;31,41;Si;Si;1;48;0,8;64.0
85;SOLUSDT;2025-11-11 05:21;2025-11-11 06:05;163,64120000000003;164,4176;0,47;DOWN;163,32;VA Breakout;163,32;0;164,25;162,39;LOSS;-1;95,0;103,74;Si;Si;45;60;1,0;68.0
86;SOLUSDT;2025-11-11 05:59;2025-11-11 06:05;162,88055;163,761;0,54;UP;163,67;VA Breakout;163,67;0;163,1;164,24;WIN;2;97,0;1,39;No;No;7;39;0,6;58.0
87;ETHUSDT;2025-11-11 06:00;2025-11-11 06:04;3548,4377;3564,34025;0,45;UP;3559,9;VA Breakout;3559,9;0;3551,55;3568,25;WIN;2;99,0;4,0;Si;Si;5;70;1,1;58.0
88;BNBUSDT;2025-11-11 06:00;2025-11-11 06:41;973,8744999999999;979,2515000000001;0,55;UP;978,5;VA Breakout;978,5;0;974,66;982,34;WIN;2;101,0;1,56;No;No;42;77;1,3;65.0
89;BTCUSDT;2025-11-11 06:01;2025-11-11 06:42;104964,692;105200,4;0,22;UP;105222,8;VA Breakout;105222,8;0;105021,45;105424,15;WIN;2;103,0;1,33;No;No;42;56;0,9;65.0
90;GALAUSDT;2025-11-11 06:02;2025-11-11 06:03;0,010127;0,010219;0,9;UP;0,01019;VA Breakout;0,01019;0;0,01;0,01;WIN;2;105,0;15,87;Si;Si;2;82;1,4;64.0
91;SUIUSDT;2025-11-11 06:02;2025-11-11 06:08;2,0809;2,096;0,72;UP;2,0939;VA Breakout;2,0939;0;2,09;2,1;WIN;2;107,0;1,63;No;No;7;81;1,3;35.0
