zone_num;start_date;end_date;min_price;max_price;price_range_pct;breakout_direction;trade_result;trade_pnl_r;r_multiple;trading_score;candles_in_zone;duration_hours
122;2026-01-04 14:20;2026-01-04 15:10;90989,40;91154,50;0,18;UP;WIN;2,0;13,58;68;11;0,8
123;2026-01-04 15:45;2026-01-04 17:30;91202,90;91377,30;0,19;DOWN;LOSS;-1,0;0,48;53;22;1,8
124;2026-01-05 02:05;2026-01-05 04:45;92456,80;92610,10;0,17;UP;WIN;2,0;12,00;58;33;2,7
125;2026-01-05 23:05;2026-01-06 00:00;93735,00;93961,00;0,24;DOWN;WIN;2,0;3,01;78;12;0,9
126;2026-01-06 00:15;2026-01-06 02:15;93545,40;93762,10;0,23;DOWN;WIN;2,0;2,26;78;25;2,0
127;2026-01-06 05:05;2026-01-06 06:05;93423,00;93632,70;0,22;UP;WIN;2,0;3,68;74;13;1,0
128;2026-01-06 08:15;2026-01-06 09:05;93596,60;93814,00;0,23;UP;WIN;2,0;2,72;88;11;0,8
129;2026-01-06 23:25;2026-01-07 02:50;92542,20;92783,00;0,26;UP;LOSS;-1,0;0,63;58;42;3,4
130;2026-01-07 07:15;2026-01-07 09:00;91927,70;92145,80;0,24;DOWN;WIN;2,0;5,98;79;22;1,8
131;2026-01-07 20:15;2026-01-07 21:20;91261,90;91641,40;0,42;DOWN;WIN;2,0;4,41;92;14;1,1
132;2026-01-08 07:35;2026-01-08 10:05;89746,20;90049,00;0,34;UP;WIN;2,0;4,70;68;31;2,5
133;2026-01-08 18:35;2026-01-08 19:45;90997,00;91163,40;0,18;UP;LOSS;-1,0;2,61;42;15;1,2
134;2026-01-08 22:50;2026-01-09 00:30;91000,00;91220,00;0,24;DOWN;WIN;2,0;6,14;60;21;1,7
135;2026-01-09 00:35;2026-01-09 02:55;90872,40;91082,10;0,23;DOWN;WIN;2,0;5,83;78;29;2,3
136;2026-01-09 05:15;2026-01-09 09:20;90357,20;90536,80;0,20;DOWN;LOSS;-1,0;3,19;55;50;4,1
137;2026-01-09 17:35;2026-01-09 21:40;90500,00;90685,80;0,21;UP;LOSS;-1,0;0,68;52;50;4,1
138;2026-01-09 22:40;2026-01-09 23:50;90462,70;90624,20;0,18;DOWN;LOSS;-1,0;0,55;33;15;1,2
139;2026-01-10 04:30;2026-01-10 08:35;90575,80;90742,50;0,18;DOWN;LOSS;-1,0;1,46;53;50;4,1
140;2026-01-10 09:00;2026-01-10 11:50;90490,20;90631,70;0,16;UP;LOSS;-1,0;0,73;32;35;2,8
141;2026-01-10 12:55;2026-01-10 14:45;90467,00;90564,60;0,11;UP;LOSS;-1,0;1,49;53;23;1,8
142;2026-01-10 15:35;2026-01-10 17:00;90434,50;90549,80;0,13;DOWN;LOSS;-1,0;0,88;53;18;1,4
143;2026-01-10 17:05;2026-01-10 19:45;90332,80;90553,80;0,24;UP;WIN;2,0;1,29;60;33;2,7
