ONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.85 (z-score: 3.01, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.87 (z-score: 1.04, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.87 (z-score: 1.01, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.85 (z-score: 1.17, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.85 (z-score: 3.29, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.85 (z-score: 1.28, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.86 (z-score: 3.08, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.86 (z-score: 2.15, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.84 (z-score: 4.19, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.83 (z-score: 3.63, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.83 (z-score: 1.28, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.83 (z-score: 1.83, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.83 (z-score: 2.89, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.83 (z-score: 5.85, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.83 (z-score: 17.65, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.83 (z-score: 2.71, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.84 (z-score: 2.30, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.84 (z-score: 1.06, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.84 (z-score: 2.55, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.84 (z-score: 1.18, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.85 (z-score: 2.10, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.85 (z-score: 113.82, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.86 (z-score: 4.58, direction: SHORT)
